Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776687858,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776687859,20,,Aggregated,0.000000,0.000000,130,150,230,250,290,310,320,330,330,330,330,78,19,130,124.04707179498823,12.951099997735582,331.9878000038443,1302.2820512820513
1776687860,40,,Aggregated,0.000000,0.000000,120,130,140,200,260,300,320,320,330,330,330,118,19,120,112.04845084778184,12.951099997735582,331.9878000038443,1334.8983050847457
1776687861,60,,Aggregated,20.000000,0.000000,60,120,140,170,290,2200,2300,2300,2500,2500,2500,167,19,60,213.82134970055174,12.951099997735582,2485.9145999944303,1293.0419161676646
1776687862,80,,Aggregated,59.000000,9.500000,60,120,130,140,270,320,2200,2300,2500,2500,2500,223,19,60,184.03958654680577,12.951099997735582,2485.9145999944303,1304.134529147982
1776687863,100,,Aggregated,59.000000,9.500000,60,110,120,130,270,310,2200,2300,2500,2500,2500,263,19,60,166.14937376388758,12.951099997735582,2485.9145999944303,1318.4866920152092
1776687864,140,,Aggregated,52.666667,6.333333,59,100,120,130,260,290,2200,2300,2500,2500,2500,303,19,59,150.6496537952717,12.951099997735582,2485.9145999944303,1329.049504950495
1776687865,160,,Aggregated,54.000000,4.750000,57,87,110,120,240,290,2200,2300,2500,2500,2500,343,19,57,138.21703236134832,12.951099997735582,2485.9145999944303,1337.1486880466473
1776687866,180,,Aggregated,50.500000,3.166667,57,99,120,120,270,2300,3100,3100,3100,3100,3100,423,39,57,265.717363592996,12.951099997735582,3078.6669999943115,1329.5555555555557
1776687867,200,,Aggregated,49.000000,2.714286,55,87,120,130,320,3100,3100,3100,3100,3100,3100,503,59,55,349.5376230612761,12.951099997735582,3078.6669999943115,1324.3777335984096
1776687868,200,,Aggregated,50.375000,4.875000,55,88,120,130,3000,3100,3100,3100,3100,3100,3100,583,79,55,411.20451132022185,12.951099997735582,3078.6669999943115,1320.6209262435677
1776687869,200,,Aggregated,53.888889,6.555556,55,97,120,250,3000,3000,3100,3100,3100,3100,3100,663,119,55,546.3934407234664,12.951099997735582,3078.6669999943115,1305.5233785822022
1776687870,200,,Aggregated,56.300000,7.900000,55,100,140,2200,3000,3000,3100,3100,3100,3100,3100,743,159,55,652.2372409148923,12.951099997735582,3078.6669999943115,1293.6769851951549
1776687871,200,,Aggregated,58.300000,9.900000,55,110,270,3000,3000,3000,3100,3100,3100,3100,3100,823,199,55,737.4024253945512,12.951099997735582,3078.6669999943115,1284.1336573511544
1776687872,200,,Aggregated,56.700000,12.100000,56,120,2200,3000,3000,3000,3100,3100,3100,3100,3100,901,239,56,808.6535255269146,12.951099997735582,3078.6669999943115,1274.015538290788
1776687873,200,,Aggregated,60.500000,16.000000,55,120,3000,3000,3000,3000,3100,3100,3100,3100,3100,983,279,55,865.010829399666,12.951099997735582,3078.6669999943115,1269.707019328586
1776687874,200,,Aggregated,60.700000,18.000000,55,130,3000,3000,3000,3000,3100,3100,3100,3100,3100,1063,319,55,914.522675258676,12.951099997735582,3078.6669999943115,1264.1222953904046
1776687875,200,,Aggregated,64.000000,22.000000,57,140,3000,3000,3000,3000,3100,3100,3100,3100,3100,1126,357,57,965.7249398757174,12.951099997735582,3078.6669999943115,1247.5657193605684
1776687876,200,,Aggregated,68.000000,26.000000,58,260,3000,3000,3000,3000,3100,3100,3100,3100,3100,1206,399,57,1007.4453282753389,12.951099997735582,3078.6669999943115,1240.4585406301824
1776687877,200,,Aggregated,72.000000,30.000000,57,280,3000,3000,3000,3000,3100,3100,3100,3100,3100,1291,438,57,1033.2479143300209,12.951099997735582,3078.6669999943115,1243.4709527498064
1776687878,200,,Aggregated,73.600000,32.000000,57,320,3000,3000,3000,3000,3100,3100,3100,3100,3100,1339,464,57,1055.1514823002626,12.951099997735582,3078.6669999943115,1238.460791635549
1776687879,200,,Aggregated,73.500000,34.000000,57,3000,3000,3000,3000,3000,3100,3100,3100,3100,3100,1415,501,57,1077.9736530742355,12.951099997735582,3078.6669999943115,1237.7102473498232
1776687880,200,,Aggregated,73.800000,36.000000,58,3000,3000,3000,3000,3000,3100,3100,3100,3100,3100,1502,546,57,1106.6257690412929,12.951099997735582,3078.6669999943115,1233.0652463382157
1776687881,200,,Aggregated,75.800000,37.400000,57,3000,3000,3000,3000,3000,3100,3100,3100,3100,3100,1552,567,57,1112.2907103093075,12.951099997735582,3078.6669999943115,1237.5328608247423
1776687882,200,,Aggregated,75.700000,37.600000,57,3000,3000,3000,3000,3000,3100,3100,3100,3100,3100,1633,609,57,1135.445996142065,12.951099997735582,3078.6669999943115,1233.4243723208817
1776687883,200,,Aggregated,76.000000,37.800000,49,3000,3000,3000,3000,3000,3100,3100,3100,3100,3100,1785,694,49,1111.3692288516224,9.829999995417893,3078.6669999943115,1219.2319327731093
1776687884,200,,Aggregated,74.800000,38.300000,59,210,3000,3000,3000,3000,3000,3100,3100,3100,3100,2063,845,59,1014.4692878817548,9.829999995417893,3078.6669999943115,1203.5744062045565
1776687885,200,,Aggregated,74.200000,37.900000,70,150,3000,3000,3000,3000,3000,3100,3100,3100,3100,2498,1077,70,899.9473208566989,9.829999995417893,3078.6669999943115,1189.8442754203363
